fasta_id,best_hit_id
sp|A2RTX5|SYTC2_HUMAN,6VU9_A
sp|A6ND01|JUNO_HUMAN,5JKA_B
sp|O00411|RPOM_HUMAN,3SPA_A
sp|O14798|TR10C_HUMAN,4N90_R
sp|O15503|INSI1_HUMAN,7ETW_A
sp|O43490|PROM1_HUMAN,7P5J_A
sp|O43570|CAH12_HUMAN,6G7A_A
sp|O43808|PM34_HUMAN,6GCI_A
sp|O60500|NPHN_HUMAN,3V2A_R
sp|O75452|RDH16_HUMAN,1FDV_C
sp|O94761|RECQ4_HUMAN,5LST_A
sp|O95377|CXB5_HUMAN,7JJP_D
sp|O95707|RPP29_HUMAN,6AHU_D
sp|P00995|ISK1_HUMAN,1HDL_A
sp|P01185|NEU2_HUMAN,2LBH_B
sp|P01375|TNFA_HUMAN,5UUI_A
sp|P01859|IGHG2_HUMAN,2RCJ_S
sp|P04746|AMYP_HUMAN,6OCN_A
sp|P04908|H2A1B_HUMAN,7N8N_D
sp|P07225|PROS_HUMAN,1H30_A
sp|P07910|HNRPC_HUMAN,7DVQ_4
sp|P10696|PPBN_HUMAN,3MK2_A
sp|P11801|KPSH1_HUMAN,4RGJ_A
sp|P13533|MYH6_HUMAN,6FSA_B
sp|P13765|DOB_HUMAN,2P24_B
sp|P17023|ZNF19_HUMAN,6QNX_C
sp|P18074|ERCC2_HUMAN,7O4J_0
sp|P18124|RL7_HUMAN,4V6W_CF
sp|P19438|TNR1A_HUMAN,1EXT_A
sp|P21941|MATN1_HUMAN,4CN9_B
sp|P29803|ODPAT_HUMAN,3EXE_A
sp|P35712|SOX6_HUMAN,6LTJ_Q
sp|P36578|RL4_HUMAN,7OBR_C
sp|P38567|HYALP_HUMAN,2PE4_A
sp|P48048|KCNJ1_HUMAN,7MJP_A
sp|P49418|AMPH_HUMAN,4ATM_A
sp|P49790|NU153_HUMAN,6LK8_T
sp|P51991|ROA3_HUMAN,6WQK_B
sp|P52655|TF2AA_HUMAN,7NVU_U
sp|P54851|EMP2_HUMAN,6OV2_A
sp|P55196|AFAD_HUMAN,4LL8_A
sp|P63261|ACTG_HUMAN,6FML_J
sp|P78330|SERB_HUMAN,1NNL_B
sp|P84077|ARF1_HUMAN,5CK3_B
sp|P86397|HTD2_HUMAN,6GJC_B
sp|Q06587|RING1_HUMAN,2CKL_B
sp|Q07444|NKG2E_HUMAN,5T1D_C
sp|Q0VG99|MESP2_HUMAN,4AYA_B
sp|Q10981|FUT2_HUMAN,3SIX_A
sp|Q12824|SNF5_HUMAN,6LTH_M
sp|Q13202|DUS8_HUMAN,6RZZ_s
sp|Q13285|STF1_HUMAN,3TX7_B
sp|Q13342|SP140_HUMAN,6G8R_B
