query_id,best_hit,best_evalue,best_score,score_mean,score_std,score_gmean
sp|A6H8Y1|BDP1_HUMAN,5N9G_H,8.3e-30,262.59,221.17,29.29,219.34
sp|A8MXV4|NUD19_HUMAN,3QSJ_A,4.4e-15,124.29,124.29,0.00,124.29
sp|O00189|AP4M1_HUMAN,7P3X_M,1.1e-45,337.28,190.29,87.86,170.86
sp|O00267|SPT5H_HUMAN,6TED_Z,6.6e-231,1899.86,491.50,577.28,262.14
sp|O00507|USP9Y_HUMAN,7YXX_A,0.0,4538.72,317.91,537.84,257.72
sp|O14986|PI51B_HUMAN,6CN2_A,2e-70,508.7,433.15,60.98,428.48
sp|O15049|N4BP3_HUMAN,7PER_H,13.0,41.69,NaN,NaN,NaN
sp|O15347|HMGB3_HUMAN,3TMM_A,5.9e-18,124.9,67.67,25.79,63.80
sp|O15394|NCAM2_HUMAN,4LIQ_E,1.5e-38,275.18,185.58,36.23,182.25
sp|O15514|RPB4_HUMAN,7OL0_D,1.2e-29,189.3,130.60,31.36,127.00
sp|O43683|BUB1_HUMAN,6TLJ_S,9.3e-71,594.38,91.88,36.24,89.49
sp|O60235|TM11D_HUMAN,7MO7_A,1.5e-36,282.1,181.27,64.07,166.86
sp|O60566|BUB1B_HUMAN,5KHU_Q,1.2e-147,1185.22,345.73,368.85,232.21
sp|O75365|TP4A3_HUMAN,1R6H_A,5.1e-28,166.79,69.65,16.71,68.17
sp|O75626|PRDM1_HUMAN,6QNX_C,6.1e-22,210.41,96.89,30.81,92.26
sp|O75792|RNH2A_HUMAN,3PUF_M,1e-68,452.08,254.85,87.85,243.21
sp|O75896|TUSC2_HUMAN,6K3I_EA,110.0,24.5,NaN,NaN,NaN
sp|O95628|CNOT4_HUMAN,7D5K_B,5.7e-11,126.98,89.45,26.30,85.39
sp|O95977|S1PR4_HUMAN,3V2Y_A,4.6e-25,185.46,132.36,19.08,130.77
sp|O96015|DNAL4_HUMAN,7K58_I,5.8e-18,102.64,92.16,5.56,91.99
sp|P00748|FA12_HUMAN,7MO7_A,2.4e-42,334.93,161.58,53.18,151.41
sp|P01213|PDYN_HUMAN,6FZ6_B,47.0,27.41,NaN,NaN,NaN
sp|P01700|LV147_HUMAN,6HDC_A,3.7e-13,95.13,58.24,7.98,57.73
sp|P04070|PROC_HUMAN,4BXW_B,4.6e-53,347.36,164.93,60.58,151.44
sp|P04553|HSP1_HUMAN,2JA1_A,120.0,18.18,NaN,NaN,NaN
sp|P04732|MT1E_HUMAN,4MT2_A,5e-32,164.22,94.60,34.81,89.77
sp|P05089|ARGI1_HUMAN,2AEB_B,2.5e-51,334.85,266.25,32.38,264.33
sp|P08195|4F2_HUMAN,7CCS_A,1.3e-108,778.78,195.62,76.23,187.18
sp|P09486|SPRC_HUMAN,1SRA_A,6.9e-36,231.31,151.44,64.62,135.03
sp|P0DPK3|NT2NB_HUMAN,6ZYA_A,1.6e-22,167.97,82.59,30.87,77.75
sp|P10599|THIO_HUMAN,6TMG_F,3.7e-18,118.03,76.06,12.92,74.95
sp|P15863|PAX1_HUMAN,6YOV_K,4.3e-08,100.39,81.28,10.32,80.67
